date;nom_officiel_epci;code_officiel_epci;consommation;operateur;centroid
2022-01;Euro Strasbourg;246700488;627743494;GRTgaz;48.572480043,7.717683131
2022-02;Rouen;200023414;700249977;GRTgaz;49.413131944,1.027548527
2022-02;Metz;200039865;236964707;GRTgaz;49.100843858,6.148999731
2022-02;Montpellier;243400017;175506150;GRTgaz;43.615713457,3.863300356
2022-02;Rennes;243500139;333477669;GRTgaz;48.108214364,-1.711435099
2022-02;Nantes;244400404;512467493;GRTgaz;47.224910325,-1.593721407
2022-02;Lille;200093201;1036012428;GRTgaz;50.643899239,3.033354341
2022-02;Clermont Auvergne;246300701;263029892;GRTgaz;45.771532407,3.090485542
2019-09;Bordeaux;243300316;130587022;Terega;44.877773862,-0.6387755780000001
2019-08;Bordeaux;243300316;92353137;Terega;44.877773862,-0.6387755780000001
2021-11;Toulouse;243100518;504958047;Terega;43.627388307,1.413319261
2018-12;Toulouse;243100518;535276175;Terega;43.627388307,1.413319261
2021-06;Toulouse;243100518;91160999;Terega;43.627388307,1.413319261
2020-02;Bordeaux;243300316;564260064;Terega;44.877773862,-0.6387755780000001
2021-11;Bordeaux;243300316;612690611;Terega;44.877773862,-0.6387755780000001
2019-08;Toulouse;243100518;59500143;Terega;43.627388307,1.413319261
2020-07;Toulouse;243100518;82549146;Terega;43.627388307,1.413319261
2021-10;Toulouse;243100518;194997045;Terega;43.627388307,1.413319261
2020-03;Toulouse;243100518;412252934;Terega;43.627388307,1.413319261
2020-09;Bordeaux;243300316;128468532;Terega;44.877773862,-0.6387755780000001
2018-04;Toulouse;243100518;259853028;Terega;43.627388307,1.413319261
2018-05;Toulouse;243100518;202162417;Terega;43.627388307,1.413319261
2018-01;Toulouse;243100518;589610926;Terega;43.627388307,1.413319261
2018-11;Bordeaux;243300316;554368198;Terega;44.877773862,-0.6387755780000001
2019-09;Toulouse;243100518;91874724;Terega;43.627388307,1.413319261
2018-10;Bordeaux;243300316;116627095;Terega;44.877773862,-0.6387755780000001
2019-06;Bordeaux;243300316;119039149;Terega;44.877773862,-0.6387755780000001
2020-02;Toulouse;243100518;455725889;Terega;43.627388307,1.413319261
2018-09;Toulouse;243100518;87764972;Terega;43.627388307,1.413319261
2018-12;Bordeaux;243300316;641209263;Terega;44.877773862,-0.6387755780000001
2020-03;Bordeaux;243300316;513739879;Terega;44.877773862,-0.6387755780000001
2018-10;Toulouse;243100518;87764972;Terega;43.627388307,1.413319261
2019-05;Toulouse;243100518;202763748;Terega;43.627388307,1.413319261
2019-03;Bordeaux;243300316;493254831;Terega;44.877773862,-0.6387755780000001
2021-01;Bordeaux;243300316;790056522;Terega;44.877773862,-0.6387755780000001
2020-04;Bordeaux;243300316;201269766;Terega;44.877773862,-0.6387755780000001
2021-12;Toulouse;243100518;588772154;Terega;43.627388307,1.413319261
2019-10;Toulouse;243100518;150067232;Terega;43.627388307,1.413319261
2021-10;Bordeaux;243300316;261417871;Terega;44.877773862,-0.6387755780000001
2021-12;Bordeaux;243300316;696915918;Terega;44.877773862,-0.6387755780000001
2021-08;Bordeaux;243300316;87960195;Terega;44.877773862,-0.6387755780000001
2020-08;Toulouse;243100518;60601022;Terega;43.627388307,1.413319261
2018-06;Toulouse;243100518;101726750;Terega;43.627388307,1.413319261
2018-03;Toulouse;243100518;540382002;Terega;43.627388307,1.413319261
2019-10;Bordeaux;243300316;235149660;Terega;44.877773862,-0.6387755780000001
2018-08;Toulouse;243100518;58503712;Terega;43.627388307,1.413319261
2018-03;Bordeaux;243300316;644655884;Terega;44.877773862,-0.6387755780000001
2019-06;Toulouse;243100518;104469022;Terega;43.627388307,1.413319261
2022-01;Bordeaux;243300316;832604285;Terega;44.877773862,-0.6387755780000001
2018-01;Grenoble;200040715;399324809;GRTgaz;45.141957344,5.718258638
2018-01; Lyon;200046977;1435613404;GRTgaz;45.763270618,4.853886453
2018-01;Marseille;200054807;2877517159;GRTgaz;43.493308185,5.344536034
2018-01;Clermont Auvergne;246300701;295062942;GRTgaz;45.771532407,3.090485542
2018-01;Euro Strasbourg;246700488;534986889;GRTgaz;48.572480043,7.717683131
2018-01;Toulon;248300543;161027433;GRTgaz;43.120017199,6.040528518
2018-02;Tours;243700754;374493340;GRTgaz;47.38424743,0.629245819
2018-02;Grand Nancy;245400676;482541669;GRTgaz;48.673467213,6.193510864
2018-03;Metz;200039865;290682009;GRTgaz;49.100843858,6.148999731
2018-03;Saint-Etienne;244200770;450870160;GRTgaz;45.472913756,4.418311566
2018-03;Nantes;244400404;569025525;GRTgaz;47.224910325,-1.593721407
2018-04;Nice;200030195;148938618;GRTgaz;44.021281136,7.154480276
2018-04;Toulon;248300543;81972866;GRTgaz;43.120017199,6.040528518
2018-05;Grand Paris;200054781;1424321243;GRTgaz;48.843924589,2.3981689040000003
2018-05;Nantes;244400404;153618142;GRTgaz;47.224910325,-1.593721407
2018-05;Toulon;248300543;40918921;GRTgaz;43.120017199,6.040528518
2018-06;Rouen;200023414;253666708;GRTgaz;49.413131944,1.027548527
2018-06;Grand Paris;200054781;807486569;GRTgaz;48.843924589,2.3981689040000003
2018-06;Montpellier;243400017;35091016;GRTgaz;43.615713457,3.863300356
2018-06;Saint-Etienne;244200770;117182454;GRTgaz;45.472913756,4.418311566
2018-06;Euro Strasbourg;246700488;140531374;GRTgaz;48.572480043,7.717683131
2018-06;Toulon;248300543;28354641;GRTgaz;43.120017199,6.040528518
2018-07;Rouen;200023414;486370264;GRTgaz;49.413131944,1.027548527
2018-07;Dijon;242100410;25935147;GRTgaz;47.306577753,5.040958764
2018-07;Orléans;244500468;56796108;GRTgaz;47.89783828,1.9293242830000001
2018-07;Grand Nancy;245400676;50429634;GRTgaz;48.673467213,6.193510864
2018-07;Clermont Auvergne;246300701;45435941;GRTgaz;45.771532407,3.090485542
2018-08;Grenoble;200040715;94301843;GRTgaz;45.141957344,5.718258638
2018-08;Grand Paris;200054781;603502717;GRTgaz;48.843924589,2.3981689040000003
2018-08;Marseille;200054807;1590633868;GRTgaz;43.493308185,5.344536034
2018-08;Rennes;243500139;49614744;GRTgaz;48.108214364,-1.711435099
2018-08;Saint-Etienne;244200770;72589331;GRTgaz;45.472913756,4.418311566
2018-08;Orléans;244500468;52673885;GRTgaz;47.89783828,1.9293242830000001
2018-09;Rouen;200023414;467681198;GRTgaz;49.413131944,1.027548527
2018-09;Grand Paris;200054781;959045837;GRTgaz;48.843924589,2.3981689040000003
2018-10;Marseille;200054807;2821195911;GRTgaz;43.493308185,5.344536034
2018-10;Dijon;242100410;97423384;GRTgaz;47.306577753,5.040958764
2018-10;Lille;200093201;573666141;GRTgaz;50.643899239,3.033354341
2018-10;Clermont Auvergne;246300701;148420981;GRTgaz;45.771532407,3.090485542
2018-11;Grenoble;200040715;295097657;GRTgaz;45.141957344,5.718258638
2018-11;Brest;242900314;180768134;GRTgaz;48.399766488,-4.470570034
2018-11;Grand Nancy;245400676;446851801;GRTgaz;48.673467213,6.193510864
2018-11;Toulon;248300543;121156667;GRTgaz;43.120017199,6.040528518
2018-12;Orléans;244500468;261672582;GRTgaz;47.89783828,1.9293242830000001
2019-01;Montpellier;243400017;293360187;GRTgaz;43.615713457,3.863300356
2019-01;Toulon;248300543;218099797;GRTgaz;43.120017199,6.040528518
2019-02;Rennes;243500139;367374264;GRTgaz;48.108214364,-1.711435099
2019-02;Orléans;244500468;251183355;GRTgaz;47.89783828,1.9293242830000001
2019-03;Rouen;200023414;832172639;GRTgaz;49.413131944,1.027548527
2019-03;Rennes;243500139;328149315;GRTgaz;48.108214364,-1.711435099
2019-03;Saint-Etienne;244200770;389881664;GRTgaz;45.472913756,4.418311566
2019-03;Euro Strasbourg;246700488;442065635;GRTgaz;48.572480043,7.717683131
2019-04; Lyon;200046977;845065498;GRTgaz;45.763270618,4.853886453
2019-04;Tours;243700754;134214082;GRTgaz;47.38424743,0.629245819
2019-05;Nice;200030195;102073731;GRTgaz;44.021281136,7.154480276
2019-05; Lyon;200046977;678806843;GRTgaz;45.763270618,4.853886453
2019-06;Metz;200039865;29315823;GRTgaz;49.100843858,6.148999731
2019-06;Rennes;243500139;72399555;GRTgaz;48.108214364,-1.711435099
2019-06;Saint-Etienne;244200770;116195234;GRTgaz;45.472913756,4.418311566
2019-06;Nantes;244400404;113647172;GRTgaz;47.224910325,-1.593721407
2019-07;Montpellier;243400017;32120591;GRTgaz;43.615713457,3.863300356
2019-07;Tours;243700754;29873779;GRTgaz;47.38424743,0.629245819
2019-07;Grand Nancy;245400676;146532806;GRTgaz;48.673467213,6.193510864
2019-08;Grand Paris;200054781;619758965;GRTgaz;48.843924589,2.3981689040000003
2019-08;Rennes;243500139;49185811;GRTgaz;48.108214364,-1.711435099
